"('Yvette4congress', 'RedNationRising')",1
"('jimsciutto', 'TrumpRussia')",2
"('rcurtis808', 'Hawaii')",2
"('SenatorKelly', 'DavidsKelly')",2
"('RepMullin', 'OK')",1
"('JayforHouse', 'Besties')",1
"('peggyflanagan', 'TeamConley')",2
"('peggyflanagan', 'MNstudies')",1
"('peggyflanagan', 'dollarajoint')",1
"('AndrewCarlsonMN', 'cheers')",1
"('MomsDemand', 'DomesticViolenceAwarenessMonth')",1
"('StittforGov', 'BLUEWAVE')",1
"('brisolier', 'photography')",1
"('Deb4CongressNM', 'takeadnatest')",1
"('ShireenGhorbani', 'bluewave')",1
"('adriandt31', 'RedWaveRising2018')",1
"('CLFSuperPAC', 'VoteBlueToSaveAmerica')",1
"('USATODAY', 'Kansas')",1
"('Pearce4NM', 'nmdems')",1
"('TwitterSupport', 'Trumpganda')",1
"('MickCornett', 'TheGreatAwakening')",1
"('DinoRossiWA', 'WAElects')",1
"('realDonaldTrump', 'Democrats')",1
"('krassenstein', 'iceraids')",1
"('BrookeBCNN', 'Pochahontas')",1
"('PauletteEJordan', 'AmericanIndian')",1
"('fenwaypark', 'folk')",1
"('CharlieBakerMA', 'MAGov')",1
"('GOP', 'WA08')",4
"('SierraClubGC', 'Vote')",1
"('DHSgov', 'DrainTheSwamp')",1
"('sharicedavids', 'PatRoberts')",1
"('rcurtis808', 'MakeHawaiiRedAgain')",3
"('elizabethforma', 'SharicedavidsNotGoodForKansas')",1
"('McCrostie4Idaho', 'VoteYESon2')",1
"('SarahPalinUSA', 'TickTock')",1
"('DinoRossiWA', 'Scamocrats')",1
"('DrKimSchrier', 'VoteBlueAndBringAFriend')",1
"('LtGovBradLittle', 'healthcare')",2
"('MachinistsUnion', 'MNGov')",1
"('SummerForPA', 'BlueWave')",1
"('samzeff', 'KS03')",1
"('rcurtis808', 'Midterms')",1
"('realDonaldTrump', 'angrymoms')",1
"('laurie_behappy', 'VoteTupola')",1
"('Alexis4RRNM', 'sherepresents')",1
"('MalcolmNance', 'Trumpaganda')",2
"('DinoRossiWA', 'flipthe8th')",1
"('sharicedavids', 'ID01')",1
"('ClaraJeffery', 'KeepItBlue')",1
"('ELINTNews', 'NEWS')",1
"('Snowden', 'Putin')",1
"('StittforGov', 'Corrupt')",1
"('realDonaldTrump', 'ImProudofMike')",1
"('StittforGov', 'OklahomaVoteRed')",3
"('IPCC_CH', 'BeFierce')",1
"('HerreraBeutler', 'WA03')",6
"('LincolnsBible', 'Trumpganda')",1
"('sharicedavids', 'ElectDemWomen')",3
"('RepMullin', 'SAFEAct')",1
"('Deb4CongressNM', 'maga')",1
"('bealagram', 'Tucson')",1
"('sharicedavids', 'gunsafety')",1
"('sharicedavids', 'KS2')",1
"('GeorgiaForTrump', 'lowlife')",1
"('sharicedavids', 'BringItHome')",1
"('peggyflanagan', 'redwave')",1
"('golden4congress', 'MI6')",1
"('StittforGov', 'bullstitt')",2
"('SenatorKelly', 'ElectionEve')",1
"('DisavowTrump20', 'ShariceDavids')",1
"('SenatorCollins', 'TeamSharice')",1
"('washdems', 'WA08')",3
"('TeaPainUSA', 'TrumpRussia')",5
"('Evan_Peters', 'AHS')",1
"('GOP', 'Education')",1
"('HillaryClinton', 'KS03')",1
"('founghawj', 'GetOutTheVote')",1
"('GOP', 'RacistTrump')",1
"('PamforAuditor', 'HoweForSOS')",2
"('GOP', 'Phan')",1
"('sharicedavids', 'VoteSharice')",1
"('YahooNews', 'TrumpRussia')",1
"('YrachetaJM', 'corporatocracy')",1
"('katieporteroc', 'NM02')",1
"('michaellegge', 'ipcc')",1
"('tedcruz', 'GOP')",1
"('CTVAnchor', 'nbpoli')",1
"('sharicedavids', 'AmericanAntiCorruptionAct')",1
"('JanetMillsforME', 'TrumpRussia')",1
"('SusanAllenMN', 'Indigenous')",1
"('KanielaIng', 'bluewave')",1
"('DinoRossiWA', 'KUOW')",1
"('EndGameWW3', 'BreakingNews')",1
"('alecoscino', 'Poesia')",1
"('RepStevePearce', 'GREED')",1
"('davereichert', 'WA')",4
"('Obs_IL', 'Alaska')",1
"('Deb4CongressNM', 'Deb4CongressNM')",1
"('RepJohnCurtis', 'utah')",1
"('chelseahandler', 'WomenWave')",1
"('TheDemocrats', 'walkaway')",1
"('mike_pence', 'MikePence')",2
"('Deb4CongressNM', 'Pueblo')",1
"('KanielaIng', 'Alabama')",1
"('FoxieNews', 'angryleftWingMob')",1
"('dscc', 'KS03')",1
"('TPM', 'GOP')",1
"('Tim_Walz', 'mnag')",1
"('Chi_ikwe', 'BreastCancerAwareness')",1
"('JimInhofe', 'JamalKhashoggi')",1
"('debhaaland', 'fuckyeah')",1
"('AnXXopinion', 'LastNoMas')",1
"('VP', 'WhiteHouse')",1
"('GinaOrtizJones', 'TX23')",1
"('NEWS9', 'DrewForGovernor')",1
"('SenWarren', 'PrayForUSA')",1
"('PauletteEJordan', 'WalkAwayFromDemocratsForever')",1
"('KarinHousley', 'Minnesotan')",1
"('GOP', 'DrainTheSwamp')",1
"('myserenity69', 'BlueWave2018')",1
